id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
22757175,TBCC-R208,RegressivoAUT_Corporate_03-06-2024T21:13:47,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22777422,TBCC-R209,TBCC-1048 - Excluir interveniente,296786,,5360306,14690224.0,,2024-06-04T17:37:15Z,2024-06-04T17:37:15Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89664818,200773,89664818,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200773,RELATED,,,,,,,,,
22779438,TBCC-R210,RegressivoAUT_Corporate_04-06-2024T20:13:27,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22782073,TBCC-R211,TBCC-1046 - [Intervener] Consulta de intervenientes por ID,296786,,5360306,14693176.0,,2024-06-04T20:29:24Z,2024-06-04T20:29:24Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89706582,200771,89706582,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200771,RELATED,,,,,,,,,
22782192,TBCC-R212,RegressivoAUT_Corporate_04-06-2024T20:42:35,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22782697,TBCC-R213,RegressivoAUT_Corporate_04-06-2024T21:17:16,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22783148,TBCC-R214,RegressivoAUT_Corporate_04-06-2024T21:50:51,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22796892,TBCC-R215,RegressivoAUT_Corporate_05-06-2024T12:26:10,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22797797,TBCC-R216,RegressivoAUT_Corporate_05-06-2024T13:3:20,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
22801285,TBCC-R217,TBCC-1045 - [Intervener] - Consulta intervenientes da empresa,296786,,5360306,14703497.0,,2024-06-05T14:46:50Z,2024-06-05T14:46:50Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89759558,200769,89759558,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200769,RELATED,,,,,,,,,
22801528,TBCC-R218,TBCC-1042 - [Intervener] - Create Intervener,296786,,5360306,14703572.0,,2024-06-05T14:55:20Z,2024-06-05T14:55:20Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/89759918,200766,89759918,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/200766,RELATED,,,,,,,,,
